Date,Close/Last,Volume,Open,High,Low
07/07/2025,$225.79,4090043,$221.43,$225.86,$220.18
07/03/2025,$221.49,2761777,$217.74,$222.605,$217.74
07/02/2025,$217.34,2363692,$215.61,$218.29,$214.52
07/01/2025,$215.97,5398126,$218.90,$223.16,$214.42
06/30/2025,$223.77,3492413,$224.40,$225.51,$222.61
06/27/2025,$222.61,4924398,$222.425,$224.43,$219.8202
06/26/2025,$221.92,5086050,$222.05,$222.79,$215.53
06/25/2025,$221.52,3550187,$223.19,$225.6834,$219.99
06/24/2025,$223.14,7206453,$219.485,$224.61,$219.25
06/23/2025,$213.71,3146772,$209.625,$214.88,$207.36
06/20/2025,$211.99,4246319,$213.35,$215.99,$210.85
06/18/2025,$212.08,4218197,$210.36,$212.6999,$209.47
06/17/2025,$209.45,2217902,$208.00,$210.2983,$206.26
06/16/2025,$209.12,2579570,$210.31,$211.00,$207.0501
06/13/2025,$208.18,3636510,$208.00,$212.30,$207.44
06/12/2025,$211.28,5138792,$206.14,$213.10,$206.14
06/11/2025,$208.61,5140168,$207.99,$210.20,$205.23
06/10/2025,$208.24,3598135,$210.075,$212.3972,$206.22
06/09/2025,$210.85,3548170,$211.31,$212.09,$208.50
06/06/2025,$210.84,3798936,$211.45,$213.00,$209.40
06/05/2025,$210.10,5234404,$211.23,$214.37,$208.89
06/04/2025,$209.60,6648504,$213.425,$214.83,$205.29
06/03/2025,$209.15,4063004,$210.50,$210.82,$207.20
06/02/2025,$210.17,4476945,$205.67,$210.44,$204.41
05/30/2025,$205.67,7077520,$202.19,$206.00,$199.75
05/29/2025,$202.31,3805005,$206.29,$206.71,$201.08
05/28/2025,$204.40,4370949,$207.00,$209.80,$203.87
05/27/2025,$206.35,9638951,$202.60,$208.31,$202.05
05/23/2025,$200.05,11909690,$198.505,$205.40,$197.70
05/22/2025,$203.18,26194100,$192.00,$204.00,$191.99
05/21/2025,$179.12,11101440,$180.91,$184.09,$178.91
05/20/2025,$182.88,4228457,$183.50,$183.60,$181.50
05/19/2025,$182.05,3828007,$181.91,$183.10,$179.94
05/16/2025,$183.08,3440016,$182.60,$184.25,$181.67
05/15/2025,$182.97,3122783,$180.00,$183.32,$178.67
05/14/2025,$181.45,4642308,$181.74,$183.50,$180.15
05/13/2025,$181.02,4143906,$180.70,$184.29,$179.97
05/12/2025,$180.54,4276539,$181.16,$182.70,$177.67
05/09/2025,$174.14,2595508,$175.00,$176.3577,$172.00
05/08/2025,$173.97,3462465,$173.00,$176.42,$171.53
05/07/2025,$170.56,1965187,$168.75,$171.67,$167.32
05/06/2025,$168.45,2293950,$165.48,$169.825,$164.24
05/05/2025,$167.87,2496022,$166.50,$170.20,$165.50
05/02/2025,$167.66,3332744,$167.56,$169.7183,$166.1059
05/01/2025,$165.36,5105913,$168.395,$169.39,$164.3827
04/30/2025,$159.49,3406569,$156.00,$159.55,$154.375
04/29/2025,$160.35,2329402,$159.51,$161.60,$158.39
04/28/2025,$158.96,2019044,$158.28,$159.88,$156.52
04/25/2025,$158.40,4164104,$157.80,$160.57,$156.10
04/24/2025,$158.66,6855527,$149.21,$159.17,$149.085
04/23/2025,$147.39,5693212,$146.31,$151.83,$146.31
04/22/2025,$140.23,2765221,$138.35,$141.4899,$137.36
04/21/2025,$137.00,3362123,$142.00,$142.14,$135.3791
04/17/2025,$143.43,2487267,$146.50,$146.60,$142.185
04/16/2025,$146.08,3043406,$144.45,$148.815,$143.65
04/15/2025,$146.54,2390987,$144.71,$147.20,$144.20
04/14/2025,$144.55,2753130,$149.00,$150.685,$143.87
04/11/2025,$144.96,4085848,$145.63,$145.63,$140.67
04/10/2025,$144.45,4087942,$148.25,$148.78,$140.13
04/09/2025,$151.15,8999114,$132.45,$151.95,$129.85
04/08/2025,$133.51,6930595,$138.05,$140.18,$130.8025
04/07/2025,$131.04,8650867,$120.70,$137.81,$120.10
04/04/2025,$130.53,8219272,$133.31,$134.71,$125.49
04/03/2025,$139.90,7967084,$144.70,$146.03,$138.13
04/02/2025,$153.91,5980817,$146.025,$155.70,$145.0126
04/01/2025,$149.54,3426825,$148.36,$150.01,$144.755
03/31/2025,$146.16,6219076,$145.85,$147.22,$141.9201
03/28/2025,$150.63,4654539,$154.24,$155.64,$148.39
03/27/2025,$156.98,2646997,$157.79,$159.11,$155.06
03/26/2025,$159.74,3456915,$163.25,$163.695,$158.67
03/25/2025,$162.83,3378613,$162.67,$166.79,$161.7501
03/24/2025,$163.17,3885015,$161.345,$166.42,$160.79
03/21/2025,$158.39,3608196,$154.67,$158.72,$153.01
03/20/2025,$157.19,2717264,$155.33,$158.82,$154.29
03/19/2025,$155.96,4559173,$155.00,$158.10,$153.62
03/18/2025,$154.36,4955918,$154.90,$155.69,$149.83
03/17/2025,$156.39,3380535,$156.295,$157.905,$154.08
03/14/2025,$156.11,4155189,$151.24,$156.498,$150.7694
03/13/2025,$149.83,5213542,$149.95,$151.30,$146.14
03/12/2025,$152.37,6264907,$155.37,$155.845,$151.00
03/11/2025,$149.90,7547890,$147.24,$155.48,$146.00
03/10/2025,$147.59,12158600,$151.30,$152.6499,$146.55
03/07/2025,$158.91,11044580,$156.25,$159.88,$148.49
03/06/2025,$156.22,11756210,$167.26,$171.0671,$155.89
03/05/2025,$177.31,4463558,$174.00,$177.77,$170.02
03/04/2025,$173.60,6988017,$171.75,$176.64,$165.80
03/03/2025,$173.65,5974621,$178.70,$180.95,$173.0559
02/28/2025,$177.10,8793460,$172.03,$177.26,$170.57
02/27/2025,$173.69,20555710,$187.01,$187.95,$173.59
02/26/2025,$166.19,12954880,$166.00,$170.005,$164.80
02/25/2025,$164.20,7163230,$168.79,$169.96,$160.66
02/24/2025,$170.92,6482055,$177.58,$177.70,$167.302
02/21/2025,$177.89,5324231,$184.90,$185.93,$176.3501
02/20/2025,$184.96,5423798,$186.00,$186.18,$178.55
02/19/2025,$186.56,5088992,$189.20,$192.00,$186.19
02/18/2025,$192.78,7308886,$193.60,$194.40,$189.09
02/14/2025,$187.60,5812268,$192.86,$193.00,$184.07
02/13/2025,$192.66,5686407,$186.96,$192.77,$185.1959
02/12/2025,$187.23,4555333,$180.42,$188.02,$178.52
02/11/2025,$183.55,3196726,$184.25,$186.31,$182.17
02/10/2025,$186.12,4488669,$185.855,$188.88,$184.75
02/07/2025,$184.03,4549301,$187.73,$189.49,$183.61
02/06/2025,$186.37,3724781,$189.11,$190.00,$185.69
02/05/2025,$188.93,4965337,$184.00,$188.93,$181.68
02/04/2025,$189.11,6903811,$186.50,$190.9199,$184.41
02/03/2025,$182.54,4388718,$176.17,$184.50,$175.25
01/31/2025,$181.51,4717377,$183.30,$185.87,$180.8722
01/30/2025,$179.29,6428334,$179.31,$180.86,$176.22
01/29/2025,$182.88,5219474,$184.50,$185.00,$181.25
01/28/2025,$188.02,8558166,$179.03,$188.4299,$177.05
01/27/2025,$175.52,7398781,$171.61,$181.77,$170.10
01/24/2025,$174.12,2945798,$176.88,$176.88,$172.89
01/23/2025,$174.94,3746286,$175.10,$177.7999,$174.03
01/22/2025,$177.49,5039883,$175.65,$177.60,$173.20
01/21/2025,$173.53,5279075,$172.75,$176.18,$172.35
01/17/2025,$170.79,4162186,$172.51,$172.99,$169.2501
01/16/2025,$167.64,4432717,$166.52,$170.67,$164.3912
01/15/2025,$165.71,7010745,$168.25,$170.42,$165.59
01/14/2025,$163.41,6325872,$165.01,$170.20,$162.48
01/13/2025,$162.43,4399594,$160.27,$164.31,$158.60
01/10/2025,$162.46,5902730,$161.38,$165.45,$160.63
01/08/2025,$161.03,5407756,$158.30,$162.58,$156.70
01/07/2025,$158.84,6588461,$167.40,$167.9133,$157.04
01/06/2025,$163.08,4130111,$165.32,$166.60,$162.42
01/03/2025,$162.22,3408875,$158.80,$162.675,$158.14
01/02/2025,$157.51,3405277,$157.00,$160.34,$154.96
12/31/2024,$154.41,2977410,$155.95,$156.39,$153.38
12/30/2024,$154.97,3853717,$155.36,$156.6842,$153.12
12/27/2024,$158.65,4040021,$162.65,$162.76,$157.2569
12/26/2024,$163.48,2692943,$162.64,$164.93,$161.315
12/24/2024,$163.06,1754277,$161.80,$163.69,$161.41
12/23/2024,$161.44,5711993,$165.31,$166.41,$160.86
12/20/2024,$166.29,5304356,$162.07,$168.94,$161.55
12/19/2024,$164.21,5792306,$164.50,$165.7514,$160.65
12/18/2024,$162.59,5159280,$170.43,$170.50,$160.76
12/17/2024,$170.81,5162427,$171.00,$172.65,$169.244
12/16/2024,$172.47,6559276,$167.66,$173.40,$167.22
12/13/2024,$167.67,5516920,$169.52,$170.73,$165.73
12/12/2024,$170.00,4404054,$169.60,$172.41,$169.0808
12/11/2024,$171.96,5475453,$173.46,$176.30,$170.30
12/10/2024,$171.55,8609645,$179.00,$180.90,$169.35
12/09/2024,$180.76,6336082,$183.20,$185.40,$178.79
12/06/2024,$183.64,4988273,$186.01,$186.90,$181.37
12/05/2024,$183.06,6668294,$186.34,$186.55,$182.30
12/04/2024,$186.51,13585590,$180.00,$186.82,$178.59
12/03/2024,$175.94,5301462,$171.00,$176.07,$170.59
12/02/2024,$172.42,5832133,$175.03,$177.6491,$171.30
11/29/2024,$174.80,4429163,$174.89,$178.37,$173.17
11/27/2024,$173.70,6980317,$172.39,$173.93,$167.38
11/26/2024,$171.28,7669642,$173.475,$176.80,$170.91
11/25/2024,$171.42,15276700,$174.96,$177.99,$171.15
11/22/2024,$167.44,20283860,$175.00,$178.70,$166.81
11/21/2024,$171.35,55121600,$161.26,$174.6484,$161.16
11/20/2024,$129.12,15555710,$131.26,$133.55,$127.55
11/19/2024,$130.24,4844089,$127.55,$130.34,$126.36
11/18/2024,$127.43,4589918,$126.475,$127.53,$125.00
11/15/2024,$125.96,5737745,$128.59,$128.95,$123.3605
11/14/2024,$129.27,4959602,$132.06,$132.255,$129.0734
11/13/2024,$130.73,11352150,$126.38,$134.59,$126.01
11/12/2024,$125.46,5754758,$123.00,$127.05,$123.00
11/11/2024,$123.50,3829661,$122.22,$123.71,$121.69
11/08/2024,$120.89,4914403,$123.00,$123.00,$119.66
11/07/2024,$123.54,4596365,$122.255,$124.96,$122.02
11/06/2024,$121.42,5455889,$120.43,$121.75,$118.80
11/05/2024,$116.50,3774553,$114.26,$117.34,$113.65
11/04/2024,$113.74,3762473,$115.51,$116.19,$113.23
11/01/2024,$115.49,4659481,$115.98,$117.06,$113.25
10/31/2024,$114.82,5284636,$117.00,$117.83,$113.86
10/30/2024,$118.99,4610050,$118.25,$121.19,$118.02
10/29/2024,$118.39,4154581,$117.51,$119.59,$116.55
10/28/2024,$117.33,5238649,$117.84,$119.20,$116.86
10/25/2024,$116.04,2718781,$115.35,$117.07,$115.12
10/24/2024,$114.92,2817323,$114.84,$116.33,$113.9412
10/23/2024,$113.61,2925310,$115.75,$116.41,$113.28
10/22/2024,$115.50,5650818,$116.90,$117.58,$114.1301
10/21/2024,$119.56,2577079,$119.29,$121.05,$117.73
10/18/2024,$119.54,2751726,$120.00,$120.56,$118.22
10/17/2024,$119.03,4023528,$119.00,$119.70,$117.30
10/16/2024,$118.90,4359114,$123.50,$123.50,$118.82
10/15/2024,$122.74,3182623,$122.50,$123.96,$121.33
10/14/2024,$123.16,4002362,$125.42,$126.50,$122.501
10/11/2024,$124.03,6703174,$123.57,$126.99,$122.89
10/10/2024,$123.79,8831497,$119.48,$123.87,$119.15
10/09/2024,$119.67,8812299,$114.32,$119.86,$113.85
10/08/2024,$113.52,3289937,$113.77,$115.02,$113.13
10/07/2024,$113.82,4186437,$114.42,$115.21,$113.06
10/04/2024,$114.72,6289612,$112.01,$115.69,$111.1489
10/03/2024,$110.47,4122448,$109.00,$110.81,$108.71
10/02/2024,$109.65,5396703,$109.96,$111.375,$109.16
10/01/2024,$110.23,7087817,$113.76,$114.7065,$109.71
09/30/2024,$114.86,7936351,$113.25,$116.08,$112.90
09/27/2024,$113.92,7123315,$113.93,$115.385,$113.21
09/26/2024,$112.49,8431145,$114.88,$115.275,$110.01
09/25/2024,$112.62,18611870,$114.97,$116.62,$112.56
09/24/2024,$112.50,9271885,$112.15,$112.94,$109.89
09/23/2024,$113.26,8335834,$111.41,$113.94,$109.91
09/20/2024,$110.27,20222030,$113.28,$113.585,$109.34
09/19/2024,$114.02,8518077,$112.91,$115.01,$111.6595
09/18/2024,$110.78,6484140,$111.53,$112.61,$110.13
09/17/2024,$111.63,4539470,$114.08,$114.39,$111.28
09/16/2024,$112.84,5435254,$112.36,$113.8443,$111.21
09/13/2024,$113.67,3235558,$113.25,$115.04,$112.90
09/12/2024,$112.99,4706131,$112.60,$114.7254,$111.35
09/11/2024,$112.00,4000917,$110.27,$112.31,$108.86
09/10/2024,$110.27,3380125,$109.96,$110.76,$108.13
09/09/2024,$109.96,3674555,$109.32,$111.49,$108.64
09/06/2024,$108.56,5651714,$112.28,$112.6599,$107.13
09/05/2024,$111.75,3891499,$110.04,$113.79,$110.00
09/04/2024,$110.80,3727650,$110.00,$112.87,$109.40
09/03/2024,$110.41,6277547,$113.06,$114.73,$109.37
08/30/2024,$114.23,5217236,$115.38,$115.92,$112.531
08/29/2024,$114.14,6871398,$112.45,$117.08,$112.45
08/28/2024,$111.56,7769874,$114.93,$115.6799,$110.26
08/27/2024,$115.54,6461841,$117.83,$118.982,$115.32
08/26/2024,$118.00,12690120,$115.05,$120.03,$114.85
08/23/2024,$115.86,16772610,$117.13,$117.30,$113.24
08/22/2024,$115.21,37236880,$122.10,$123.98,$115.14
08/21/2024,$135.06,16442970,$132.76,$135.72,$130.66
08/20/2024,$131.92,4929412,$131.43,$133.67,$130.76
08/19/2024,$131.42,5326410,$128.56,$132.66,$128.25
08/16/2024,$128.04,6261926,$125.00,$128.64,$124.73
08/15/2024,$127.05,8167942,$124.00,$128.655,$123.99
08/14/2024,$127.30,3289028,$127.56,$128.11,$125.19
08/13/2024,$127.06,3797623,$123.27,$127.77,$122.85
08/12/2024,$123.03,2662605,$125.29,$126.19,$121.95
08/09/2024,$124.41,3685865,$121.06,$124.63,$120.47
08/08/2024,$121.60,4556413,$118.05,$122.06,$117.28
08/07/2024,$115.10,5616914,$117.51,$121.53,$115.05
08/06/2024,$114.82,5342579,$114.64,$117.32,$113.33
08/05/2024,$112.63,6874151,$107.93,$115.71,$107.93
08/02/2024,$119.77,8260332,$120.90,$121.6499,$116.89
08/01/2024,$124.20,7684768,$129.40,$129.79,$121.45
07/31/2024,$130.38,5498317,$129.35,$132.55,$128.77
07/30/2024,$128.88,6475340,$128.54,$131.41,$126.675
07/29/2024,$129.57,3955310,$130.00,$130.57,$128.40
07/26/2024,$129.00,3377909,$130.53,$131.375,$128.044
07/25/2024,$129.59,5349140,$126.27,$132.99,$125.50
07/24/2024,$125.62,6000734,$131.00,$131.8125,$125.54
07/23/2024,$132.60,3254229,$131.25,$134.17,$130.38
07/22/2024,$131.15,3802078,$130.69,$132.65,$129.62
07/19/2024,$129.85,3411236,$129.83,$130.88,$128.87
07/18/2024,$129.84,3869943,$135.03,$136.68,$129.7505
07/17/2024,$135.10,6156168,$134.00,$138.40,$133.26
07/16/2024,$136.21,3704706,$135.00,$138.14,$134.47
07/15/2024,$133.72,5533571,$135.92,$136.33,$132.8001
07/12/2024,$135.75,8103603,$133.95,$137.46,$132.20
07/11/2024,$138.18,5994093,$139.00,$142.10,$136.3444
07/10/2024,$137.50,5835329,$137.46,$137.98,$133.17
07/09/2024,$137.46,6558042,$140.37,$141.36,$136.26
07/08/2024,$141.57,4480577,$143.31,$143.4359,$140.89
07/05/2024,$143.02,6164583,$142.98,$146.46,$142.61
07/03/2024,$142.86,3290913,$141.96,$143.72,$140.7101
07/02/2024,$141.92,6648560,$142.66,$144.68,$140.695
07/01/2024,$142.77,9889092,$138.32,$142.97,$135.73
06/28/2024,$135.09,8129297,$133.55,$135.73,$133.55
06/27/2024,$133.92,8488889,$129.13,$134.6399,$128.68
06/26/2024,$129.13,10888460,$123.68,$130.82,$122.68
06/25/2024,$124.21,9696437,$125.00,$125.80,$122.60
06/24/2024,$124.80,6863383,$126.69,$126.9751,$124.40
06/21/2024,$127.80,13046980,$125.68,$128.27,$124.70
06/20/2024,$126.62,6156742,$127.00,$127.40,$125.32
06/18/2024,$127.60,5982688,$130.11,$131.1384,$126.56
06/17/2024,$130.67,6477642,$126.46,$131.7899,$125.65
06/14/2024,$127.17,6820093,$126.10,$128.89,$124.69
06/13/2024,$125.90,8837915,$129.76,$129.91,$125.88
06/12/2024,$130.33,8926949,$130.66,$133.38,$129.15
06/11/2024,$128.48,10559380,$128.75,$130.6365,$127.15
06/10/2024,$126.76,10827260,$129.53,$130.00,$125.89
06/07/2024,$131.21,4355403,$131.06,$132.60,$130.08
06/06/2024,$132.04,8261026,$133.94,$135.85,$131.835
06/05/2024,$134.29,15919830,$137.22,$137.30,$128.41
06/04/2024,$137.00,7627449,$137.20,$139.06,$135.60
06/03/2024,$136.93,7549696,$136.85,$138.48,$135.70
05/31/2024,$136.18,14049230,$140.27,$142.10,$133.59
05/30/2024,$140.95,9278593,$147.00,$147.70,$140.2312
05/29/2024,$148.19,4880099,$148.64,$150.00,$147.74
05/28/2024,$150.74,6453661,$156.07,$156.47,$149.55
05/24/2024,$156.16,6026313,$155.36,$159.00,$154.11
05/23/2024,$154.58,19511070,$168.25,$168.7999,$152.35
05/22/2024,$163.34,9912492,$163.06,$164.84,$162.13
05/21/2024,$162.71,4051344,$163.78,$164.329,$161.39
05/20/2024,$164.78,3545117,$163.08,$165.35,$162.5442
05/17/2024,$161.86,3625310,$163.72,$164.42,$161.13
05/16/2024,$165.04,3021504,$163.87,$165.88,$163.185
05/15/2024,$164.37,4147204,$163.00,$164.86,$158.85
05/14/2024,$160.95,2831068,$161.00,$162.2456,$159.35
05/13/2024,$159.79,3180658,$158.05,$161.38,$157.51
05/10/2024,$157.15,2443791,$157.10,$158.12,$155.415
05/09/2024,$155.87,2560789,$157.86,$158.1699,$155.77
05/08/2024,$157.78,2632188,$158.10,$159.64,$157.00
05/07/2024,$159.09,4569262,$160.22,$160.918,$158.27
05/06/2024,$163.68,3198506,$160.11,$163.88,$159.38
05/03/2024,$159.32,3660233,$161.00,$161.375,$157.69
05/02/2024,$157.77,2671605,$158.01,$159.39,$154.29
05/01/2024,$156.14,3423066,$158.14,$160.2988,$154.18
04/30/2024,$155.20,4016193,$156.13,$158.58,$155.00
04/29/2024,$157.44,5168711,$158.70,$159.6149,$156.235
04/26/2024,$158.13,6533260,$159.76,$160.29,$155.80
04/25/2024,$152.50,3965032,$152.59,$153.82,$149.55
04/24/2024,$154.99,3972698,$153.00,$155.08,$152.03
04/23/2024,$151.17,4826509,$148.93,$152.079,$148.801
04/22/2024,$147.21,3736481,$145.45,$148.40,$144.32
04/19/2024,$145.45,4974560,$147.66,$150.09,$144.55
04/18/2024,$148.41,3795534,$148.67,$150.90,$147.6401
04/17/2024,$148.80,3767066,$151.04,$152.44,$148.77
04/16/2024,$150.30,4705665,$151.51,$152.0699,$149.11
04/15/2024,$151.98,5929197,$156.38,$157.03,$151.09
04/12/2024,$158.56,4663615,$157.10,$160.52,$156.78
04/11/2024,$159.35,5737466,$154.66,$159.915,$154.33
04/10/2024,$152.97,3602446,$151.60,$153.51,$151.55
04/09/2024,$155.58,3412176,$155.12,$156.895,$153.83
04/08/2024,$154.86,2682723,$153.86,$155.69,$151.69
04/05/2024,$153.86,5120008,$152.48,$155.55,$152.17
04/04/2024,$151.34,6249543,$153.11,$156.00,$150.62
04/03/2024,$153.02,6147013,$155.15,$155.30,$152.53
04/02/2024,$156.19,5615491,$157.50,$157.77,$155.07
04/01/2024,$160.52,3928834,$161.86,$163.75,$159.735
03/28/2024,$161.60,10106910,$164.02,$165.89,$161.00
03/27/2024,$160.04,4698138,$159.60,$160.6278,$157.70
03/26/2024,$158.02,4069083,$159.38,$160.97,$157.64
03/25/2024,$158.14,3108718,$157.79,$159.10,$157.25
03/22/2024,$159.03,4085102,$158.39,$160.30,$157.00
03/21/2024,$158.39,11393370,$166.00,$168.68,$157.21
03/20/2024,$163.04,7596629,$158.05,$164.31,$158.05
03/19/2024,$157.70,6644858,$152.11,$157.84,$151.49
03/18/2024,$156.31,7127229,$157.52,$158.26,$155.55
03/15/2024,$156.97,8280637,$158.78,$160.24,$156.62
03/14/2024,$158.92,5999111,$162.02,$162.50,$157.80
03/13/2024,$162.31,5866709,$161.27,$166.84,$160.70
03/12/2024,$161.95,7386921,$162.94,$163.77,$159.70
03/11/2024,$162.29,6026073,$161.42,$162.98,$160.40
03/08/2024,$162.40,9368999,$169.29,$169.84,$161.63
03/07/2024,$168.44,9049602,$167.00,$169.16,$163.71
03/06/2024,$167.00,12733360,$170.00,$171.36,$163.37
03/05/2024,$167.75,14716890,$175.03,$175.33,$166.3201
03/04/2024,$177.93,16342260,$185.89,$186.55,$175.295
03/01/2024,$186.72,17265860,$191.26,$194.20,$186.14
02/29/2024,$188.28,42311350,$181.17,$190.45,$180.68
02/28/2024,$230.00,19406240,$230.75,$233.88,$226.56
02/27/2024,$234.03,4810315,$233.00,$235.66,$231.09
02/26/2024,$230.93,4820595,$229.33,$233.36,$226.65
02/23/2024,$229.34,4527953,$234.28,$234.83,$227.0399
02/22/2024,$225.62,5847729,$224.14,$227.68,$219.515
02/21/2024,$216.21,3596578,$215.00,$217.20,$211.68
02/20/2024,$220.08,6028646,$226.03,$226.69,$215.59
02/16/2024,$230.31,3604068,$230.65,$234.815,$228.60
02/15/2024,$232.40,3617604,$235.00,$236.33,$229.10
02/14/2024,$236.00,3741915,$230.00,$236.24,$227.18
02/13/2024,$227.57,4851114,$223.06,$231.02,$220.50
02/12/2024,$232.16,5383662,$231.00,$237.72,$229.0746
02/09/2024,$233.28,8263401,$228.30,$235.00,$228.13
02/08/2024,$222.90,6119851,$219.30,$226.29,$218.30
02/07/2024,$218.23,3920972,$214.01,$219.40,$212.75
02/06/2024,$213.68,5159941,$217.50,$218.50,$208.505
02/05/2024,$215.60,5552565,$217.11,$220.6732,$210.54
02/02/2024,$218.76,11911520,$208.64,$219.74,$204.05
02/01/2024,$199.94,3260591,$197.00,$200.33,$195.34
01/31/2024,$195.64,6296755,$201.50,$203.29,$194.87
01/30/2024,$206.25,4415381,$208.64,$209.98,$204.81
01/29/2024,$209.54,5288749,$201.91,$210.2629,$201.40
01/26/2024,$202.51,3799060,$203.75,$205.4899,$201.20
01/25/2024,$206.01,4804154,$205.36,$209.4725,$202.75
01/24/2024,$203.81,8127759,$209.18,$211.65,$203.485
